,Duration (ms),Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Time_Signature
765,198053,0.808,0.903,9,-2.179,1,0.0729,0.0899,0,0.0816,0.922,120.044,198053,4
766,208240,0.574,0.909,8,-1.573,1,0.0658,0.0987,0,0.264,0.569,169.966,208240,4
767,180320,0.746,0.78,1,-3.279,1,0.0563,0.401,4.08E-06,0.0895,0.607,125.089,180320,4
768,213880,0.697,0.874,5,-2.15,0,0.0449,0.0122,0,0.627,0.775,132.018,213880,4
769,177466,0.772,0.907,3,-2.438,0,0.124,0.136,0,0.334,0.783,119.973,177467,4
770,181680,0.756,0.831,5,-2.536,0,0.141,0.0966,0,0.0499,0.703,113.025,181680,4
771,205493,0.657,0.88,10,-3.672,0,0.102,0.121,0,0.463,0.769,150.084,205493,4
772,206866,0.708,0.959,1,-1.338,1,0.0604,0.0296,0.00188,0.107,0.644,128.981,206867,4
773,204167,0.702,0.692,10,-5.405,1,0.0539,0.0542,0,0.0877,0.419,144.896,204168,4
774,232150,0.751,0.719,6,-5.198,0,0.0373,0.142,0,0.148,0.437,98.01,232150,4
775,185440,0.66,0.812,11,-5.355,0,0.127,0.038,0,0.131,0.644,160.002,185440,4
776,212720,0.671,0.667,11,-4.63,0,0.0518,0.18,0,0.202,0.396,93.043,212720,4
777,227826,0.828,0.852,1,-2.334,1,0.0667,0.0199,0,0.107,0.772,123.043,227827,4
778,198680,0.791,0.821,11,-3.329,0,0.0414,0.214,0,0.0828,0.742,115.076,198680,4
779,232694,0.742,0.749,6,-5.06,0,0.0378,0.232,0,0.119,0.485,98.013,232694,4
780,230773,0.643,0.862,2,-3.166,1,0.0744,0.0268,0,0.0801,0.318,90.025,230773,4
781,212720,0.677,0.635,11,-4.669,0,0.0343,0.189,0,0.211,0.505,93.038,212720,4
782,199666,0.701,0.787,11,-2.56,0,0.0523,0.137,0,0.147,0.537,102.018,199667,4
783,190333,0.746,0.774,5,-3.39,0,0.0379,0.137,0,0.102,0.815,98.007,190333,4
784,193933,0.46,0.316,8,-6.366,1,0.0317,0.861,0,0.111,0.51,128.913,193933,4
785,261013,0.365,0.626,7,-4.247,1,0.0374,0.648,6.06E-06,0.115,0.249,83.823,261013,4
786,231340,0.612,0.519,9,-5.568,1,0.0391,0.478,0,0.189,0.537,80.882,231341,4
787,244546,0.624,0.521,8,-3.11,1,0.0365,0.805,0,0.112,0.382,151.759,244547,3
788,219631,0.59,0.481,1,-7.744,1,0.0286,0.514,1.05E-06,0.138,0.228,103.066,219632,4
789,182653,0.415,0.532,7,-2.928,1,0.037,0.253,0,0.344,0.123,188.781,182653,3
790,198749,0.68,0.391,11,-6.906,1,0.0357,0.723,0,0.107,0.419,82.861,198750,4
791,168960,0.644,0.879,5,-1.761,0,0.0689,0.136,0,0.164,0.658,81.025,168960,4
792,210733,0.48,0.584,5,-4.263,0,0.0441,0.606,0,0.203,0.349,115.879,210733,3
793,198173,0.75,0.846,2,-3.206,1,0.0358,0.204,1.21E-05,0.381,0.669,99.975,198173,4
794,195667,0.652,0.959,6,-0.266,1,0.0617,0.123,0,0.311,0.779,112.04,195668,4
795,181106,0.703,0.914,6,-0.692,1,0.157,0.365,0,0.104,0.707,124.203,181107,4
796,222581,0.692,0.969,7,-3.213,0,0.0678,0.167,0,0.301,0.762,111.495,222582,4
797,187466,0.664,0.887,7,-2.331,0,0.0841,0.174,0,0.0894,0.718,121.092,187467,4
798,224930,0.729,0.928,7,-3.028,1,0.054,0.054,0,0.36,0.618,115.998,224931,4
799,218093,0.752,0.878,7,-3.257,0,0.0376,0.102,0,0.0494,0.691,111.984,218094,4
800,217066,0.679,0.931,7,-1.957,1,0.0945,0.0942,0.000471,0.361,0.673,123.939,217067,4
801,208047,0.717,0.929,6,-2.414,1,0.132,0.119,0,0.541,0.773,127.024,208047,4
