,Duration (ms),Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Time_Signature
1493,224585,0.589,0.471,10,-4.908,1,0.0262,0.674,0,0.105,0.262,95.972,224586,4
1494,153037,0.59,0.867,4,-4.053,1,0.0649,0.00721,0,0.355,0.758,89.52,153038,4
1495,237986,0.551,0.814,4,-3.683,1,0.0425,0.00089,0.00000116,0.18,0.469,130.971,237987,4
1496,233880,0.657,0.569,2,-6.287,1,0.0542,0.201,0.0000138,0.126,0.399,102.054,233880,4
1497,125055,0.691,0.813,1,-4.49,1,0.0393,0.201,0.132,0.128,0.537,154.122,125055,4
1498,189462,0.367,0.142,6,-12.717,0,0.0319,0.913,0.00367,0.107,0.1,69.827,189463,4
1499,296011,0.816,0.513,1,-8.363,1,0.244,0.0145,0.000102,0.14,0.17,96.981,296011,4
1500,168182,0.653,0.453,7,-5.395,0,0.0351,0.307,0.00101,0.113,0.0405,111.737,168183,4
1501,181860,0.572,0.519,2,-7.092,0,0.212,0.536,0,0.102,0.35,128.331,181860,4
1502,140500,0.77,0.787,11,-3.748,0,0.0583,0.198,0,0.262,0.513,119.986,140500,4
1503,304228,0.675,0.868,1,-6.36,1,0.0392,0.00107,0.715,0.374,0.0376,128.007,304229,4
1504,176117,0.595,0.914,1,-5.351,1,0.0363,0.00137,0.445,0.0714,0.0381,128.019,176118,4
1505,169160,0.882,0.965,4,-0.818,1,0.13,0.0136,0.388,0.206,0.759,128.129,169160,4
1506,153303,0.54,0.892,11,-4.985,1,0.11,0.233,0.0000935,0.195,0.152,106.594,153304,3
1507,149226,0.664,0.733,7,-5.408,1,0.0582,0.249,0,0.309,0.403,110.11,149227,4
1508,142756,0.693,0.73,0,-5.06,0,0.0356,0.161,0.0000412,0.109,0.693,120.018,142756,4
1509,194871,0.609,0.546,1,-8.025,1,0.0352,0.398,0.0841,0.093,0.19,83.5,194871,4
1510,243413,0.723,0.777,7,-3.503,1,0.108,0.0426,0.00000368,0.0451,0.961,91.017,243413,4
1511,213146,0.756,0.863,7,-3.39,1,0.028,0.404,0,0.112,0.915,132.987,213147,4
1512,191426,0.487,0.478,8,-5.91,0,0.0536,0.704,0,0.121,0.288,137.799,191427,4
1513,301714,0.786,0.808,7,-3.702,1,0.0881,0.0846,0.000289,0.0822,0.608,105.029,301714,4
1514,148048,0.73,0.966,11,-1.794,0,0.0619,0.081,0.0000793,0.0946,0.891,168.091,148049,4
1515,167674,0.766,0.638,11,-2.737,0,0.0902,0.406,0,0.2,0.681,92.077,167674,4
1516,173021,0.683,0.511,7,-7.894,0,0.0641,0.448,0,0.175,0.256,95.087,173021,4
1517,137065,0.738,0.828,10,-6.31,0,0.106,0.0119,0.0019,0.549,0.542,119.985,137066,4
1518,149890,0.721,0.457,0,-6.916,1,0.159,0.308,0,0.258,0.63,129.98,149891,4
1519,225789,0.668,0.802,5,-4.005,0,0.0917,0.0273,0,0.163,0.769,113.796,225789,4
1520,221946,0.562,0.939,0,-4.282,1,0.0475,0.046,0,0.112,0.684,116.044,221947,4
1521,212893,0.452,0.683,1,-4.829,1,0.0337,0.168,0,0.102,0.445,183.937,212893,4
1522,191307,0.419,0.453,8,-7.685,1,0.0437,0.539,0,0.0971,0.356,140.327,191308,3
1523,229080,0.672,0.593,11,-4.01,0,0.0304,0.0223,0,0.214,0.438,98.02,229080,4
1524,223043,0.443,0.533,0,-6.548,1,0.0396,0.371,0,0.128,0.201,77.344,223044,4
1525,198221,0.677,0.55,0,-7.053,1,0.042,0.427,0,0.0915,0.343,99.953,198221,4
1526,223120,0.707,0.67,9,-6.137,1,0.0323,0.164,0.00283,0.109,0.822,112.993,223120,4
1527,192257,0.606,0.513,9,-8.756,1,0.0524,0.102,0,0.156,0.177,79.9,192257,4
1528,211373,0.796,0.361,1,-8.417,1,0.0888,0.716,0.0000143,0.101,0.315,124.921,211373,4
1529,160173,0.416,0.298,7,-8.499,1,0.0442,0.635,0.00000216,0.136,0.191,95.386,160173,4
