,Duration (ms),Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Time_Signature
1575,199693,0.72,0.909,8,-3.258,0,0.0952,0.0904,0,0.137,0.877,91.022,199693,4
1576,176606,0.864,0.846,11,-3.243,1,0.134,0.144,0,0.157,0.898,106.974,176606,4
1577,142334,0.909,0.762,9,-3.974,1,0.0643,0.434,0,0.0856,0.843,101.987,142335,3
1578,235200,0.813,0.866,7,-3.239,1,0.0851,0.17,0,0.0421,0.647,99.994,235200,4
1579,199112,0.783,0.727,6,-3.454,0,0.389,0.185,0.0000246,0.0626,0.558,180.067,199112,4
1580,207306,0.73,0.701,5,-5.885,0,0.106,0.132,0,0.151,0.785,175.95,207307,4
1581,166734,0.783,0.868,7,-2.961,0,0.0591,0.19,0,0.165,0.727,109.977,166735,4
1582,171760,0.882,0.934,8,-1.479,0,0.0501,0.292,0.0024,0.0549,0.611,130.032,171761,4
1583,201180,0.762,0.77,5,-2.758,1,0.223,0.138,0,0.15,0.631,177.998,201181,4
1584,278106,0.772,0.547,6,-6.373,0,0.0541,0.0983,0.00000435,0.107,0.0957,130.099,278107,4
1585,214293,0.715,0.874,6,-3.576,1,0.0548,0.126,0.000162,0.105,0.652,96.995,214293,4
1586,206693,0.702,0.73,0,-5.173,0,0.099,0.425,0.00000125,0.148,0.879,173.967,206693,4
1587,192600,0.852,0.797,0,-6.543,1,0.0614,0.322,0.00000269,0.0845,0.741,96.008,192600,4
1588,210933,0.819,0.741,8,-6.538,0,0.0412,0.104,0,0.283,0.84,97.014,210933,4
1589,229360,0.655,0.797,2,-4.787,1,0.153,0.198,0,0.067,0.839,177.928,229360,4
1590,206420,0.744,0.868,1,-4.524,1,0.047,0.0326,0,0.0822,0.586,93.037,206420,4
1591,209493,0.76,0.9,5,-4.782,1,0.0668,0.0715,0,0.221,0.761,100.046,209493,4
1592,193226,0.737,0.86,8,-2.652,0,0.0593,0.11,0.00000194,0.0574,0.656,93.989,193227,4
1593,239920,0.703,0.909,4,-4.456,0,0.0358,0.216,0.00000157,0.162,0.777,97.982,239920,4
1594,301714,0.786,0.808,7,-3.702,1,0.0881,0.0846,0.000289,0.0822,0.608,105.029,301714,4
1595,266086,0.795,0.783,5,-4.271,1,0.0432,0.361,0,0.437,0.799,92.01,266087,4
1596,224693,0.806,0.875,7,-3.817,1,0.088,0.0838,0.00192,0.065,0.917,125.063,224693,4
1597,197333,0.72,0.88,9,-2.834,1,0.101,0.0562,0.06,0.153,0.463,180.011,197333,4
1598,125108,0.919,0.953,9,-2.62,0,0.0443,0.47,0.00000238,0.113,0.874,133.515,125108,4
1599,193805,0.812,0.736,4,-5.421,0,0.0833,0.152,0.00254,0.0914,0.396,91.993,193806,4
1600,131037,0.785,0.897,4,-3.447,0,0.158,0.0452,0,0.222,0.891,115.916,131038,4
1601,154023,0.819,0.687,1,-2.213,0,0.0464,0.233,0.0000477,0.117,0.475,129.991,154024,4
1602,209693,0.684,0.885,0,-2.882,1,0.0561,0.127,0,0.212,0.654,173.846,209693,4
1603,127992,0.896,0.951,2,-2.882,1,0.0527,0.55,0.00982,0.101,0.742,131.882,127942,4
1604,147201,0.882,0.802,11,-4.835,0,0.0927,0.147,0.000571,0.071,0.706,135.076,147202,4
1605,148048,0.73,0.966,11,-1.794,0,0.0619,0.081,0.0000793,0.0946,0.891,168.091,148049,4
1606,226093,0.836,0.703,4,-3.554,0,0.0657,0.0845,0,0.138,0.902,94.048,226093,4
1607,185207,0.475,0.666,11,-4.962,0,0.0312,0.644,0.000012,0.0988,0.765,159.744,185208,4
1608,206166,0.699,0.529,2,-7.548,1,0.0487,0.0317,0.0000359,0.285,0.121,119.987,206167,4
1609,201993,0.851,0.676,2,-5.738,1,0.0366,0.395,0.00342,0.0907,0.523,132.007,201993,3
1610,166529,0.931,0.793,0,-4.666,0,0.133,0.0378,0.00000463,0.0748,0.856,117.999,166529,4
